virtual_id,market,dataset,variant,pattern,grain,retired_at,archivesMarket
1,future,books,,depth_500/{TRANSFORM:archiveDir:{SYMBOL}}/2/{SYMBOL}_3_{YYYY}{MM}{DD}.zip,daily,,futures
2,future,books,,depth_500_month/{SYMBOL}/2/{SYMBOL}_3_{YYYY}{MM}.zip,monthly,,futures
3,future,klines,1m,kline/{SYMBOL}/UMCBL/{SYMBOL}_UMCBL_1min_{YYYY}{MM}{DD}.zip,daily,,futures
4,future,klines,1m,kline/{SYMBOL}/UMCBL/{YYYY}{MM}{DD}.zip,daily,20260817,futures
5,future,klines,1m,kline_month/{SYMBOL}/UMCBL/{SYMBOL}_UMCBL_1min_{YYYY}{MM}.zip,monthly,,futures
6,future,quotes,,depth/{SYMBOL}/2/{YYYY}{MM}{DD}.zip,daily,20260817,futures
7,future,quotes,,depth/{TRANSFORM:archiveDir:{SYMBOL}}/2/{SYMBOL}_3_{YYYY}{MM}{DD}.zip,daily,,futures
8,future,quotes,,depth_month/{SYMBOL}/2/{SYMBOL}_3_{YYYY}{MM}.zip,monthly,,futures
9,future,trades,,trades/{TRANSFORM:marginToken:UMCBL}/{SYMBOL}/{SYMBOL}_{YYYY}{MM}{DD}_001.zip,daily,,futures
10,future,trades,,trades/{TRANSFORM:marginToken:UMCBL}/{SYMBOL}/{YYYY}{MM}{DD}_001.zip,daily,20260817,futures
11,future,trades,,trades_month/{TRANSFORM:marginToken:UMCBL}/{SYMBOL}/{SYMBOL}_{TRANSFORM:marginToken:UMCBL}_{YYYY}{MM}.zip,monthly,,futures
12,perp,books,,depth_500/{TRANSFORM:archiveDir:{SYMBOL}}/2/{SYMBOL}_3_{YYYY}{MM}{DD}.zip,daily,,futures
13,perp,books,,depth_500_month/{SYMBOL}/2/{SYMBOL}_3_{YYYY}{MM}.zip,monthly,,futures
14,perp,klines,1m,kline/{SYMBOL}/UMCBL/{SYMBOL}_UMCBL_1min_{YYYY}{MM}{DD}.zip,daily,,futures
15,perp,klines,1m,kline/{SYMBOL}/UMCBL/{YYYY}{MM}{DD}.zip,daily,20260817,futures
16,perp,klines,1m,kline/{TRANSFORM:archiveDir:{SYMBOL}}/{SYMBOL}_UMCBL_1min_{YYYY}{MM}{DD}.zip,daily,20240418,futures
17,perp,klines,1m,kline_month/{SYMBOL}/UMCBL/{SYMBOL}_UMCBL_1min_{YYYY}{MM}.zip,monthly,,futures
18,perp,quotes,,depth/{SYMBOL}/2/{YYYY}{MM}{DD}.zip,daily,20260817,futures
19,perp,quotes,,depth/{TRANSFORM:archiveDir:{SYMBOL}}/2/{SYMBOL}_3_{YYYY}{MM}{DD}.zip,daily,,futures
20,perp,quotes,,depth_month/{SYMBOL}/2/{SYMBOL}_3_{YYYY}{MM}.zip,monthly,,futures
21,perp,trades,,trades/{TRANSFORM:marginToken:UMCBL}/{SYMBOL}/{SYMBOL}_{TRANSFORM:marginToken:UMCBL}_{YYYY}{MM}{DD}_001.zip,daily,20240418,futures
22,perp,trades,,trades/{TRANSFORM:marginToken:UMCBL}/{SYMBOL}/{SYMBOL}_{YYYY}{MM}{DD}_001.zip,daily,,futures
23,perp,trades,,trades/{TRANSFORM:marginToken:UMCBL}/{SYMBOL}/{YYYY}{MM}{DD}_001.zip,daily,20260817,futures
24,perp,trades,,trades_month/{TRANSFORM:marginToken:UMCBL}/{SYMBOL}/{SYMBOL}_{TRANSFORM:marginToken:UMCBL}_{YYYY}{MM}.zip,monthly,,futures
25,spot,books,,depth_500/{TRANSFORM:archiveDir:{SYMBOL}}/1/{SYMBOL}_1_{YYYY}{MM}{DD}.zip,daily,,spot
26,spot,books,,depth_500_month/{SYMBOL}/1/{SYMBOL}_1_{YYYY}{MM}.zip,monthly,,spot
27,spot,klines,1m,kline/{SYMBOL}/SP/{SYMBOL}_SP_1min_{YYYY}{MM}{DD}.zip,daily,,spot
28,spot,klines,1m,kline/{SYMBOL}/SP/{YYYY}{MM}{DD}.zip,daily,20260817,spot
29,spot,klines,1m,kline/{SYMBOL}/{SYMBOL}_SP_1min_{YYYY}{MM}{DD}.zip,daily,20240418,spot
30,spot,klines,1m,kline_month/{SYMBOL}/SP/{SYMBOL}_SP_1min_{YYYY}{MM}.zip,monthly,,spot
31,spot,quotes,,depth/{SYMBOL}/1/{YYYY}{MM}{DD}.zip,daily,20260817,spot
32,spot,quotes,,depth/{TRANSFORM:archiveDir:{SYMBOL}}/1/{SYMBOL}_1_{YYYY}{MM}{DD}.zip,daily,,spot
33,spot,quotes,,depth_month/{SYMBOL}/1/{SYMBOL}_1_{YYYY}{MM}.zip,monthly,,spot
34,spot,trades,,trades/SPBL/{SYMBOL}/{SYMBOL}_SPBL_{YYYY}{MM}{DD}_001.zip,daily,20240418,spot
35,spot,trades,,trades/SPBL/{SYMBOL}/{SYMBOL}_{YYYY}{MM}{DD}_001.zip,daily,,spot
36,spot,trades,,trades/SPBL/{SYMBOL}/{YYYY}{MM}{DD}_001.zip,daily,20260817,spot
37,spot,trades,,trades_month/SPBL/{SYMBOL}/{SYMBOL}_SPBL_{YYYY}{MM}.zip,monthly,,spot
