market,symbol,dataset,kind,transform,date_from,date_to
future,BTCCMZ26,,archiveDir,BTCCM_D2,20260903,
future,ETHCMZ26,,archiveDir,ETHCM_D2,20260903,
perp,1000000MOGUSDT,,archiveDir,1000000MOGUSDT,20260903,
perp,10000NEXUSDT,,archiveDir,10000NEXUSDT,20260903,
perp,1000BONKPERP,,archiveDir,1000BONKPERP,20260903,
perp,1000BONKUSDT,,archiveDir,1000BONKUSDT,20260903,
perp,1000CATUSDT,,archiveDir,1000CATUSDT,20260903,
perp,1000RATSUSDT,,archiveDir,1000RATSUSDT,20260903,
perp,1000SATSUSDT,,archiveDir,1000SATSUSDT,20260903,
perp,1000XECUSDT,,archiveDir,1000XECUSDT,20260903,
perp,AAVEUSD_CM,,archiveDir,AAVECM,20260903,
perp,ADAUSD_CM,,archiveDir,ADACM,20260903,
perp,APTUSD_CM,,archiveDir,APTCM,20260903,
perp,AVAXUSD_CM,,archiveDir,AVAXCM,20260903,
perp,BCHUSD_CM,,archiveDir,BCHCM,20260903,
perp,BTCUSD_CM,,archiveDir,BTCCM,20260903,
perp,CTRUSDT,,archiveDir,CTRNEWUSDT,20260903,
perp,DATAPERP,,archiveDir,IPPERP,20260903,
perp,DATAUSDT,,archiveDir,IPUSDT,20260903,
perp,DOGEUSD_CM,,archiveDir,DOGECM,20260903,
perp,DOTUSD_CM,,archiveDir,DOTCM,20260903,
perp,ETCUSD_CM,,archiveDir,ETCCM,20260903,
perp,ETHUSD_CM,,archiveDir,ETHCM,20260903,
perp,FILUSD_CM,,archiveDir,FILCM,20260903,
perp,GRAMPERP,,archiveDir,TONCOINPERP,20260903,
perp,GRAMUSDT,,archiveDir,TONUSDT,20260903,
perp,HYPEUSD_CM,,archiveDir,HYPECM,20260903,
perp,KAIAUSDT,,archiveDir,KLAYUSDT,20260903,
perp,KATUSDT,,archiveDir,KATNEWUSDT,20260903,
perp,LABUSDT,,archiveDir,LABNEWUSDT,20260903,
perp,LINKUSD_CM,,archiveDir,LINKCM,20260903,
perp,LITUSDT,,archiveDir,LITNEWUSDT,20260903,
perp,LTCUSD_CM,,archiveDir,LTCCM,20260903,
perp,LUNAUSDT,,archiveDir,LUNA2USDT,20260903,
perp,MONUSDT,,archiveDir,MONNEWUSDT,20260903,
perp,NEARUSD_CM,,archiveDir,NEARCM,20260903,
perp,OPENUSDT,,archiveDir,OPENNEWUSDT,20260903,
perp,PROSUSDT,,archiveDir,PROSNEWUSDT,20260903,
perp,PUMPUSDT,,archiveDir,PUMPFUNUSDT,20260903,
perp,REDUSDT,,archiveDir,REDNEWUSDT,20260903,
