virtual_id,market,dataset,variant,pattern,grain,retired_at
1,perp,indexPrice,15m,data/index-klines/linear-swap/daily/{SYMBOL}/15min/{SYMBOL}-15min-{YYYY}-{MM}-{DD}.zip,daily,20260804
2,perp,indexPrice,1d,data/index-klines/linear-swap/daily/{SYMBOL}/1day/{SYMBOL}-1day-{YYYY}-{MM}-{DD}.zip,daily,20260804
3,perp,indexPrice,1m,data/index-klines/linear-swap/daily/{SYMBOL}/1min/{SYMBOL}-1min-{YYYY}-{MM}-{DD}.zip,daily,20260804
4,perp,indexPrice,30m,data/index-klines/linear-swap/daily/{SYMBOL}/30min/{SYMBOL}-30min-{YYYY}-{MM}-{DD}.zip,daily,20260804
5,perp,indexPrice,4h,data/index-klines/linear-swap/daily/{SYMBOL}/4hour/{SYMBOL}-4hour-{YYYY}-{MM}-{DD}.zip,daily,20260804
6,perp,indexPrice,5m,data/index-klines/linear-swap/daily/{SYMBOL}/5min/{SYMBOL}-5min-{YYYY}-{MM}-{DD}.zip,daily,20260804
7,perp,indexPrice,1h,data/index-klines/linear-swap/daily/{SYMBOL}/60min/{SYMBOL}-60min-{YYYY}-{MM}-{DD}.zip,daily,20260804
8,perp,indexPrice,15m,data/index-klines/swap/daily/{SYMBOL}/15min/{SYMBOL}-15min-{YYYY}-{MM}-{DD}.zip,daily,20260804
9,perp,indexPrice,1d,data/index-klines/swap/daily/{SYMBOL}/1day/{SYMBOL}-1day-{YYYY}-{MM}-{DD}.zip,daily,20260804
10,perp,indexPrice,1m,data/index-klines/swap/daily/{SYMBOL}/1min/{SYMBOL}-1min-{YYYY}-{MM}-{DD}.zip,daily,20260804
11,perp,indexPrice,30m,data/index-klines/swap/daily/{SYMBOL}/30min/{SYMBOL}-30min-{YYYY}-{MM}-{DD}.zip,daily,20260804
12,perp,indexPrice,4h,data/index-klines/swap/daily/{SYMBOL}/4hour/{SYMBOL}-4hour-{YYYY}-{MM}-{DD}.zip,daily,20260804
13,perp,indexPrice,5m,data/index-klines/swap/daily/{SYMBOL}/5min/{SYMBOL}-5min-{YYYY}-{MM}-{DD}.zip,daily,20260804
14,perp,indexPrice,1h,data/index-klines/swap/daily/{SYMBOL}/60min/{SYMBOL}-60min-{YYYY}-{MM}-{DD}.zip,daily,20260804
15,future,klines,15m,data/klines/future/daily/{SYMBOL}/15min/{SYMBOL}-15min-{YYYY}-{MM}-{DD}.zip,daily,20260804
16,future,klines,1d,data/klines/future/daily/{SYMBOL}/1day/{SYMBOL}-1day-{YYYY}-{MM}-{DD}.zip,daily,20260804
17,future,klines,1m,data/klines/future/daily/{SYMBOL}/1min/{SYMBOL}-1min-{YYYY}-{MM}-{DD}.zip,daily,20260804
18,future,klines,30m,data/klines/future/daily/{SYMBOL}/30min/{SYMBOL}-30min-{YYYY}-{MM}-{DD}.zip,daily,20260804
19,future,klines,4h,data/klines/future/daily/{SYMBOL}/4hour/{SYMBOL}-4hour-{YYYY}-{MM}-{DD}.zip,daily,20260804
20,future,klines,5m,data/klines/future/daily/{SYMBOL}/5min/{SYMBOL}-5min-{YYYY}-{MM}-{DD}.zip,daily,20260804
21,future,klines,1h,data/klines/future/daily/{SYMBOL}/60min/{SYMBOL}-60min-{YYYY}-{MM}-{DD}.zip,daily,20260804
22,future,klines,15m,data/klines/linear-swap/daily/{SYMBOL}/15min/{SYMBOL}-15min-{YYYY}-{MM}-{DD}.zip,daily,20260804
23,perp,klines,15m,data/klines/linear-swap/daily/{SYMBOL}/15min/{SYMBOL}-15min-{YYYY}-{MM}-{DD}.zip,daily,20260804
24,future,klines,1d,data/klines/linear-swap/daily/{SYMBOL}/1day/{SYMBOL}-1day-{YYYY}-{MM}-{DD}.zip,daily,20260804
25,perp,klines,1d,data/klines/linear-swap/daily/{SYMBOL}/1day/{SYMBOL}-1day-{YYYY}-{MM}-{DD}.zip,daily,20260804
26,future,klines,1m,data/klines/linear-swap/daily/{SYMBOL}/1min/{SYMBOL}-1min-{YYYY}-{MM}-{DD}.zip,daily,20260804
27,perp,klines,1m,data/klines/linear-swap/daily/{SYMBOL}/1min/{SYMBOL}-1min-{YYYY}-{MM}-{DD}.zip,daily,20260804
28,future,klines,30m,data/klines/linear-swap/daily/{SYMBOL}/30min/{SYMBOL}-30min-{YYYY}-{MM}-{DD}.zip,daily,20260804
29,perp,klines,30m,data/klines/linear-swap/daily/{SYMBOL}/30min/{SYMBOL}-30min-{YYYY}-{MM}-{DD}.zip,daily,20260804
30,future,klines,4h,data/klines/linear-swap/daily/{SYMBOL}/4hour/{SYMBOL}-4hour-{YYYY}-{MM}-{DD}.zip,daily,20260804
31,perp,klines,4h,data/klines/linear-swap/daily/{SYMBOL}/4hour/{SYMBOL}-4hour-{YYYY}-{MM}-{DD}.zip,daily,20260804
32,future,klines,5m,data/klines/linear-swap/daily/{SYMBOL}/5min/{SYMBOL}-5min-{YYYY}-{MM}-{DD}.zip,daily,20260804
33,perp,klines,5m,data/klines/linear-swap/daily/{SYMBOL}/5min/{SYMBOL}-5min-{YYYY}-{MM}-{DD}.zip,daily,20260804
34,future,klines,1h,data/klines/linear-swap/daily/{SYMBOL}/60min/{SYMBOL}-60min-{YYYY}-{MM}-{DD}.zip,daily,20260804
35,perp,klines,1h,data/klines/linear-swap/daily/{SYMBOL}/60min/{SYMBOL}-60min-{YYYY}-{MM}-{DD}.zip,daily,20260804
36,option,klines,15m,data/klines/option/daily/{SYMBOL}/15min/{SYMBOL}-15min-{YYYY}-{MM}-{DD}.zip,daily,20260804
