virtual_id,market,dataset,variant,pattern,grain,retired_at
1,future,books,"400,incremental",okx/match/orderbook/L2/400lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-futureschain-L2orderbook-400lv-{YYYY}-{MM}-{DD}.tar.gz,daily,20260804
2,future,books,"400,incremental",okx/match/orderbook/pro/L2/400lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-futureschain-L2orderbook-400lv-{YYYY}-{MM}-{DD}.tar.gz,daily,
3,future,books,"5000,incremental",okx/match/orderbook/L2/5000lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-futureschain-L2orderbook-5000lv-{YYYY}-{MM}-{DD}.tar.gz,daily,20260804
4,future,books,"5000,incremental",okx/match/orderbook/pro/L2/5000lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-futureschain-L2orderbook-5000lv-{YYYY}-{MM}-{DD}.tar.gz,daily,
5,future,klines,1m,okex/traderecords/candlesticks/monthly/{YYYY}{MM}/{SYMBOL}-futureschain-candlesticks-{YYYY}-{MM}.zip,monthly,
6,future,klines,1m,okex/traderecords/candlesticks/daily/{YYYY}{MM}{DD}/{SYMBOL}-futureschain-candlesticks-{YYYY}-{MM}-{DD}.zip,daily,
7,future,trades,,okex/traderecords/trades/monthly/{YYYY}{MM}/{SYMBOL}-futureschain-trades-{YYYY}-{MM}.zip,monthly,
8,future,trades,,okex/traderecords/trades/daily/{YYYY}{MM}{DD}/{SYMBOL}-futureschain-trades-{YYYY}-{MM}-{DD}.zip,daily,
9,option,books,"400,incremental",okx/match/orderbook/L2/400lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-optionchain-L2orderbook-400lv-{YYYY}-{MM}-{DD}.tar.gz,daily,20260804
10,option,books,"400,incremental",okx/match/orderbook/pro/L2/400lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-optionchain-L2orderbook-400lv-{YYYY}-{MM}-{DD}.tar.gz,daily,
11,option,books,"5000,incremental",okx/match/orderbook/L2/5000lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-optionchain-L2orderbook-5000lv-{YYYY}-{MM}-{DD}.tar.gz,daily,20260804
12,option,books,"5000,incremental",okx/match/orderbook/pro/L2/5000lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-optionchain-L2orderbook-5000lv-{YYYY}-{MM}-{DD}.tar.gz,daily,
13,option,klines,1m,okex/traderecords/candlesticks/monthly/{YYYY}{MM}/{SYMBOL}-optionchain-candlesticks-{YYYY}-{MM}.zip,monthly,
14,option,klines,1m,okex/traderecords/candlesticks/daily/{YYYY}{MM}{DD}/{SYMBOL}-optionchain-candlesticks-{YYYY}-{MM}-{DD}.zip,daily,
15,option,trades,,okex/traderecords/trades/monthly/{YYYY}{MM}/{SYMBOL}-optionchain-trades-{YYYY}-{MM}.zip,monthly,
16,option,trades,,okex/traderecords/trades/daily/{YYYY}{MM}{DD}/{SYMBOL}-optionchain-trades-{YYYY}-{MM}-{DD}.zip,daily,
17,spot,books,"400,incremental",okx/match/orderbook/L2/400lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-L2orderbook-400lv-{YYYY}-{MM}-{DD}.tar.gz,daily,20260804
18,spot,books,"5000,incremental",okx/match/orderbook/L2/5000lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-L2orderbook-5000lv-{YYYY}-{MM}-{DD}.tar.gz,daily,20260804
19,spot,klines,1m,okex/traderecords/candlesticks/monthly/{YYYY}{MM}/{SYMBOL}-candlesticks-{YYYY}-{MM}.zip,monthly,
20,spot,klines,1m,okex/traderecords/candlesticks/daily/{YYYY}{MM}{DD}/{SYMBOL}-candlesticks-{YYYY}-{MM}-{DD}.zip,daily,
21,spot,trades,,okex/traderecords/trades/monthly/{YYYY}{MM}/{SYMBOL}-trades-{YYYY}-{MM}.zip,monthly,
22,spot,trades,,okex/traderecords/trades/daily/{YYYY}{MM}{DD}/{SYMBOL}-trades-{YYYY}-{MM}-{DD}.zip,daily,
23,spot,books,"400,incremental",okx/match/orderbook/pro/L2/400lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-L2orderbook-400lv-{YYYY}-{MM}-{DD}.tar.gz,daily,
24,spot,books,"5000,incremental",okx/match/orderbook/pro/L2/5000lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-L2orderbook-5000lv-{YYYY}-{MM}-{DD}.tar.gz,daily,
25,perp,books,"400,incremental",okx/match/orderbook/L2/400lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-SWAP-L2orderbook-400lv-{YYYY}-{MM}-{DD}.tar.gz,daily,20260804
26,perp,books,"400,incremental",okx/match/orderbook/pro/L2/400lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-SWAP-L2orderbook-400lv-{YYYY}-{MM}-{DD}.tar.gz,daily,
27,perp,books,"5000,incremental",okx/match/orderbook/L2/5000lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-SWAP-L2orderbook-5000lv-{YYYY}-{MM}-{DD}.tar.gz,daily,20260804
28,perp,books,"5000,incremental",okx/match/orderbook/pro/L2/5000lv/daily/{YYYY}{MM}{DD}/{SYMBOL}-SWAP-L2orderbook-5000lv-{YYYY}-{MM}-{DD}.tar.gz,daily,
29,perp,klines,1m,okex/traderecords/candlesticks/monthly/{YYYY}{MM}/{SYMBOL}-SWAP-candlesticks-{YYYY}-{MM}.zip,monthly,
30,perp,klines,1m,okex/traderecords/candlesticks/daily/{YYYY}{MM}{DD}/{SYMBOL}-SWAP-candlesticks-{YYYY}-{MM}-{DD}.zip,daily,
31,perp,funding,realised,okex/traderecords/swaprates/monthly/{YYYY}{MM}/{SYMBOL}-SWAP-fundingrates-{YYYY}-{MM}.zip,monthly,
32,perp,trades,,okex/traderecords/trades/monthly/{YYYY}{MM}/{SYMBOL}-SWAP-trades-{YYYY}-{MM}.zip,monthly,
33,perp,trades,,okex/traderecords/trades/daily/{YYYY}{MM}{DD}/{SYMBOL}-SWAP-trades-{YYYY}-{MM}-{DD}.zip,daily,
34,spot,trades,,okex/traderecords/trades/daily/{YYYY}{MM}{DD}/allspot-trades-{YYYY}-{MM}-{DD}.zip,daily,
35,spot,klines,1m,okex/traderecords/candlesticks/daily/{YYYY}{MM}{DD}/allspot-candlesticks-{YYYY}-{MM}-{DD}.zip,daily,
36,perp,trades,,okex/traderecords/trades/daily/{YYYY}{MM}{DD}/allswap-trades-{YYYY}-{MM}-{DD}.zip,daily,
37,perp,klines,1m,okex/traderecords/candlesticks/daily/{YYYY}{MM}{DD}/allswap-candlesticks-{YYYY}-{MM}-{DD}.zip,daily,
38,perp,funding,realised,okex/traderecords/swaprates/daily/{YYYY}{MM}{DD}/allswap-fundingrates-{YYYY}-{MM}-{DD}.zip,daily,
39,future,trades,,okex/traderecords/trades/daily/{YYYY}{MM}{DD}/allfutures-trades-{YYYY}-{MM}-{DD}.zip,daily,
40,future,klines,1m,okex/traderecords/candlesticks/daily/{YYYY}{MM}{DD}/allfutures-candlesticks-{YYYY}-{MM}-{DD}.zip,daily,
41,option,trades,,okex/traderecords/trades/daily/{YYYY}{MM}{DD}/alloption-trades-{YYYY}-{MM}-{DD}.zip,daily,
42,option,klines,1m,okex/traderecords/candlesticks/daily/{YYYY}{MM}{DD}/alloption-candlesticks-{YYYY}-{MM}-{DD}.zip,daily,
43,spot,borrowing,,okex/traderecords/borrowrates/daily/{YYYY}{MM}{DD}/allmargin-borrowrates-{YYYY}-{MM}-{DD}.zip,daily,
